Kontakt-ID,Primaere E-Mail,Strasse (Korr.),PLZ (Korr.),Ort (Korr.),Handy,Vorname,Nachname,Geburtsdatum,Geschlecht,Anredeart,Mitgliedschaft
3185498,raembus@gmail.com,Schwarzenbach 2178,9200,Gossau,,Gioia,Schweizer,28.07.2014,2,2,Aktivmitglied Jugend
3185499,raembus@gmail.com,,8000,Zürich,0791234567,Max,Müller,31-02-2000,1,1,Passiv
3185500,raembus@gmail.com,Hauptstrasse 12,abcd,Bern,0787654321,Anna,Schmidt,15.08.1995,0,1,
3185501,raembus@gmail.com,Hauptstraße 5,3000,,0761234567,,Meier,12.13.1990,1,1,Aktiv
3185502,raembus@gmail.com, ,3012,Bern,0751234567,Julia,,25.12.1988,,2,Aktivmitglied
3185503,raembus@gmail.com,Musterweg 3,4000,Basel,,Daniel,Fischer,1993-11-30,3,3,Passiv
3185504,raembus@gmail.com,Musterstrasse 5,6000,Luzern,0799998888,Nora,Brunner,,2,2,Aktiv
3185505,raembus@gmail.com,Bahnhofplatz 1,7000,Chur,0700000000,Benjamin,Sutter,01.01.2001,1,5,
3185506,raembus@gmail.com,Feldweg 9,abcd,St. Gallen,0791112222,Laura,Meier,31.04.1992,1,,Aktivmitglied Jugend
3185507,raembus@gmail.com,Hauptplatz,5000,Aarau,0793334444,Kevin,Huber,15.06.1999,1,1,Unbekannt
